prompt_variant,temperature,n_sentence_persona_cases,mean_llm_entropy,mean_human_entropy,mean_entropy_gap,exact_monolith_rate,near_monolith_95_rate,mean_valid_llm_votes
Aggressive,0.0,22,0.0,0.934,-0.934,1.0,1.0,50.0
Aggressive,0.1,22,0.0,0.934,-0.934,1.0,1.0,50.0
Aggressive,0.2,22,0.0,0.934,-0.934,1.0,1.0,50.0
Aggressive,0.3,22,0.059,0.934,-0.875,0.909,0.909,50.0
Aggressive,0.4,22,0.079,0.934,-0.855,0.909,0.909,50.0
Aggressive,0.5,22,0.081,0.934,-0.853,0.909,0.909,50.0
Aggressive,0.6,22,0.082,0.934,-0.852,0.909,0.909,50.0
Aggressive,0.7,22,0.124,0.934,-0.81,0.773,0.864,50.0
Aggressive,0.8,22,0.161,0.934,-0.773,0.773,0.818,50.0
Aggressive,0.9,22,0.166,0.934,-0.768,0.773,0.773,50.0
Aggressive,1.0,22,0.17,0.934,-0.764,0.773,0.773,50.0
Sandwiched,0.0,22,0.0,0.934,-0.934,1.0,1.0,50.0
Sandwiched,0.1,22,0.0,0.934,-0.934,1.0,1.0,50.0
Sandwiched,0.2,22,0.033,0.934,-0.901,0.955,0.955,50.0
Sandwiched,0.3,22,0.041,0.934,-0.893,0.955,0.955,50.0
Sandwiched,0.4,22,0.045,0.934,-0.889,0.955,0.955,50.0
Sandwiched,0.5,22,0.069,0.934,-0.865,0.909,0.909,50.0
Sandwiched,0.6,22,0.093,0.934,-0.841,0.864,0.864,50.0
Sandwiched,0.7,22,0.11,0.934,-0.824,0.864,0.864,50.0
Sandwiched,0.8,22,0.112,0.934,-0.822,0.864,0.864,50.0
Sandwiched,0.9,22,0.12,0.934,-0.814,0.864,0.864,50.0
Sandwiched,1.0,22,0.123,0.934,-0.811,0.864,0.864,50.0
